stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,"Modoc & Portesuello",,34.424858,-119.726070,,,,,,2
2,10,"Milpas & Montecito",,34.424216,-119.682260,,,,,,2
3,100,"Via Real & Santa Ynez",,34.404568,-119.526952,,,,,,2
4,1001,"Cathedral Oaks & Camino Del Rio",,34.452776,-119.779570,,,,,,2
5,102,"Via Real & Sandpiper MHP",,34.406224,-119.541470,,,,,,2
6,1023,"UCSB Elings Hall Outbound",,34.414872,-119.839620,,,,,,2
7,1024,"Cathedral Oaks & Via Chaparral",,34.450067,-119.765250,,,,,,2
8,103,"Carpinteria & Palm",,34.396167,-119.515217,,,,,,2
10,104,"Anapamu & Santa Barbara",,34.425301,-119.702300,,,,,,2
13,1044,"Hollister & Sumida",,34.435311,-119.814560,,,,,,2
15,1052,"Seville & Embarcadero Del Mar",,34.411870,-119.857582,,,,,,2
16,1053,"Seville & Embarcadero Del Mar",,34.411753,-119.857340,,,,,,2
17,1054,"Embarcadero & Sabado Tarde",,34.410741,-119.856187,,,,,,2
18,1055,"Embarcadero & Sabado Tarde",,34.410651,-119.856298,,,,,,2
19,1056,"Abrego & Camino Pescadero",,34.414222,-119.859040,,,,,,2
20,1063,"El Colegio & Embarcadero Del Mar",,34.417498,-119.857450,,,,,,2
21,1064,"El Colegio & Los Carneros",,34.417513,-119.861260,,,,,,2
22,1065,"El Colegio & Los Carneros",,34.417245,-119.861150,,,,,,2
23,1066,"El Colegio & Embarcadero Del Mar",,34.417241,-119.857850,,,,,,2
25,1069,"El Colegio & Camino Corto",,34.417575,-119.865430,,,,,,2
27,108,"Storke & Hollister 108",,34.429107,-119.869520,,,,,,2
29,1081,"Encina Road & Encina Lane",,34.442962,-119.828330,,,,,,2
30,109,"Hollister & Cathedral Oaks",,34.430926,-119.905809,,,,,,2
31,110,"Hollister & Entrance",,34.429755,-119.885153,,,,,,2
32,114,"Calle Real & Kingston",,34.440992,-119.821200,,,,,,2
33,115,"Arrellaga & Castillo",,34.422712,-119.714359,,,,,,2
34,116,"Cabrillo & State",,34.412440,-119.688752,,,,,,2
36,118,"Cabrillo & State",,34.411995,-119.689620,,,,,,2
37,119,"Santa Barbara Zoo",,34.419212,-119.668380,,,,,,2
38,12,"San Andres & Valerio",,34.420618,-119.718609,,,,,,2
39,120,"Harbor",,34.403927,-119.694742,,,,,,2
41,123,"Santa Ynez & Via Real",,34.404640,-119.526646,,,,,,2
45,128,"Franklin Center",,34.427305,-119.679680,,,,,,2
46,136,"Cathedral Oaks & Alpha Resource",,34.451353,-119.776096,,,,,,2
47,14,"Treasure & Samarkand",,34.430419,-119.731200,,,,,,2
48,143,"Winchester Canyon & Bradford",,34.434793,-119.900439,,,,,,2
49,144,"Hollister & Pacific Oaks",,34.429922,-119.877150,,,,,,2
50,15,"State & San Roque",,34.440496,-119.734617,,,,,,2
51,153,"Cota & Olive",,34.422940,-119.691368,,,,,,2
52,156,"State & La Cumbre 156",,34.440346,-119.750451,,,,,,2
53,157,"Hollister & Turnpike",,34.436526,-119.790320,,,,,,2
54,16,"State & La Cumbre",,34.440577,-119.751500,,,,,,1
55,164,"Encina & Fairview",,34.442933,-119.829880,,,,,,2
56,17,"State & Broadmoor",,34.440493,-119.737300,,,,,,2
58,173,"State & Mission",,34.430584,-119.714463,,,,,,2
59,174,"Milpas & Cota",,34.427032,-119.686480,,,,,,2
60,175,"Anacapa & De La Guerra",,34.420324,-119.697800,,,,,,2
62,181,"Hollister & Nectarine",,34.435965,-119.827030,,,,,,2
63,182,"Haley & Garden",,34.419634,-119.692400,,,,,,2
64,183,"Anapamu & State",,34.423543,-119.704170,,,,,,2
65,184,"Anacapa & Carrillo",,34.422275,-119.700476,,,,,,2
66,186,"Cota & State",,34.418086,-119.696527,,,,,,2
67,187,"Haley & Bath",,34.413878,-119.698725,,,,,,2
69,189,"Montecito & Rancheria",,34.409497,-119.698830,,,,,,2
70,19,"Hillside House",,34.419119,-119.743170,,,,,,2
71,190,"Cliff & Weldon",,34.404503,-119.705358,,,,,,2
72,191,"Cliff & La Marina",,34.402642,-119.708393,,,,,,2
73,192,"Cliff & Terrace",,34.401757,-119.710743,,,,,,2
74,193,"Cliff & Santa Fe",,34.401259,-119.713493,,,,,,2
75,194,"Cliff & Mira Mesa",,34.401004,-119.719046,,,,,,2
76,195,"Meigs & Dolores",,34.402770,-119.721382,,,,,,2
77,196,"Meigs & Aurora",,34.404784,-119.721766,,,,,,2
78,197,"Meigs & La Coronilla",,34.408622,-119.721069,,,,,,2
79,198,"Carrillo & Miramonte",,34.409605,-119.717923,,,,,,2
80,199,"Carrillo & Vista Del Pueblo",,34.411170,-119.715256,,,,,,2
81,2,"San Andres & Valerio",,34.420714,-119.718940,,,,,,2
82,20,"Arroyo Burro Beach Park",,34.404222,-119.742969,,,,,,1
83,200,"Carrillo & Bath",,34.417948,-119.705811,,,,,,2
84,203,"Carrillo & Anacapa",,34.422295,-119.701154,,,,,,2
85,206,"Carrillo & Chino",,34.414359,-119.713332,,,,,,2
86,208,"Meigs & Red Rose",,34.402118,-119.721999,,,,,,2
87,209,"Cliff & Salida Del Sol",,34.400847,-119.719197,,,,,,2
88,21,"Cliff & Meigs",,34.401329,-119.721618,,,,,,2
89,210,"Cliff & Santa Cruz",,34.400904,-119.714570,,,,,,2
90,211,"Cliff & San Rafael",,34.401672,-119.710108,,,,,,2
91,212,"Cliff & Oceano",,34.404380,-119.705176,,,,,,2
92,213,"Chapala & Haley",,34.416063,-119.696944,,,,,,2
